PlayType_description,Batting_Team_id,Batting_Team_name,Bowling_Team_id,Bowling_Team_name,Innings,Total_Runs_on_delivery,Commentary,Commentary_short,Score,Bowler_id,Bowler_name,Bowler_maiden,Bowler_balls,Bowler_wickets,Bowler_over,Bowler_conceded,Other_Bowler_id,Other_Bowler_name,Other_Bowler_maidens,Other_Bowler_balls,Other_Bowler_wickets,Other_Bowler_overs,Other_Bowler_conceded,Batsman_id,Batsman_name,Batsman_runs,Batsman_balls_faced,Batsman_four,Batsman_sixes,Other_Batsman_id,Other_Batsman_name,Other_Batsman_runs,Other_Batsman_balls_faced,Other_Batsman_four,Other_Batsman_sixes,Over_ball,Over_complete,Over_maiden,Over_no_Ball,Over_wide,Over_byes,Over_leg_byes,Over_number,Over_runs,Over_wickets,Dismissal_is_true,Dismissal_type,Dismissal_fielder_iskeeper,Dismissal_text,Innings_run_rate,Innings_byes,Innings_balls,Innings_no_balls,Innings_wickets,Innings_leg_byes,Innings_session,Innings_day,Innings_wides,Innings_runs
no run,7,Pakistan,5,New Zealand,1st innings,0,shortish and outside off and once again he looks unhurried. Calmly glides it to cover,"Duffy to Khushdil Shah, no run",27/4,547766,Jacob Duffy,0,14,3,2.2,11,539548,Scott Kuggeleijn,0,12,1,2.0,9,716733,Khushdil Shah,7,7,1,0,922943,Shadab Khan,0,0,0,0,2,False,0,0,0,0,0,6,4,0,False,,False,False,5.06,0,32,0,4,0,1,1,0,27
run,7,Pakistan,5,New Zealand,1st innings,1,"looks for the drive on the up, places it to the left of mid-off and sprints through for a single","Duffy to Khushdil Shah, 1 run",28/4,547766,Jacob Duffy,0,15,3,2.3,12,539548,Scott Kuggeleijn,0,12,1,2.0,9,716733,Khushdil Shah,8,8,1,0,922943,Shadab Khan,0,0,0,0,3,False,0,0,0,0,0,6,4,0,False,,False,False,5.09,0,33,0,4,0,1,1,0,28
wide,7,Pakistan,5,New Zealand,1st innings,1,back of a length delivery slips down leg side,"Duffy to Shadab Khan, 1 wide",29/4,547766,Jacob Duffy,0,15,3,2.3,13,539548,Scott Kuggeleijn,0,12,1,2.0,9,922943,Shadab Khan,0,0,0,0,716733,Khushdil Shah,8,8,1,0,4,False,0,0,1,0,0,6,4,0,False,,False,False,5.27,0,33,0,4,0,1,1,1,29
no run,7,Pakistan,5,New Zealand,1st innings,0,"full on middle, Shadab pushes down the pitch","Duffy to Shadab Khan, no run",29/4,547766,Jacob Duffy,0,16,3,2.4,13,539548,Scott Kuggeleijn,0,12,1,2.0,9,922943,Shadab Khan,0,1,0,0,716733,Khushdil Shah,8,8,1,0,5,False,0,0,0,0,0,6,4,0,False,,False,False,5.11,0,34,0,4,0,1,1,0,29
no run,7,Pakistan,5,New Zealand,1st innings,0,"<b>gets it to straighten</b> and Shadab is wary of the threat, making sure he steps forward to it and blocks with a very straight, very firm defensive bat","Duffy to Shadab Khan, no run",29/4,547766,Jacob Duffy,0,17,3,2.5,13,539548,Scott Kuggeleijn,0,12,1,2.0,9,922943,Shadab Khan,0,2,0,0,716733,Khushdil Shah,8,8,1,0,6,False,0,0,0,0,0,6,4,0,False,,False,False,4.97,0,35,0,4,0,1,1,0,29
no run,7,Pakistan,5,New Zealand,1st innings,0,"looks to nudge the back of a length ball through midwicket, but again it doesn't come onto the bat as well as he expects and Shadab's groan of disappointment tells it all as he watches the ball pop back down the pitch","Duffy to Shadab Khan, no run",29/4,547766,Jacob Duffy,0,18,3,3.0,13,539548,Scott Kuggeleijn,0,12,1,2.0,9,922943,Shadab Khan,0,3,0,0,716733,Khushdil Shah,8,8,1,0,7,True,0,0,0,0,0,6,4,0,False,,False,False,4.83,0,36,0,4,0,1,1,0,29
run,7,Pakistan,5,New Zealand,1st innings,1,it's short. it's a googly. he rocks back and pulls to deep midwicket,"Sodhi to Khushdil Shah, 1 run",30/4,559066,Ish Sodhi,0,1,0,0.1,1,547766,Jacob Duffy,0,18,3,3.0,13,716733,Khushdil Shah,9,9,1,0,922943,Shadab Khan,0,3,0,0,1,False,0,0,0,0,0,7,3,0,False,,False,False,4.86,0,37,0,4,0,1,1,0,30
run,7,Pakistan,5,New Zealand,1st innings,1,"<b>inside edge</b> as Shadab is drawn into playing an expansive drive through the off side, but the tossed up legbreak drifts in just enough and dips on him to secure the mis-hit","Sodhi to Shadab Khan, 1 run",31/4,559066,Ish Sodhi,0,2,0,0.2,2,547766,Jacob Duffy,0,18,3,3.0,13,922943,Shadab Khan,1,4,0,0,716733,Khushdil Shah,9,9,1,0,2,False,0,0,0,0,0,7,3,0,False,,False,False,4.89,0,38,0,4,0,1,1,0,31
no run,7,Pakistan,5,New Zealand,1st innings,0,defends a flighted delivery on off stump,"Sodhi to Khushdil Shah, no run",31/4,559066,Ish Sodhi,0,3,0,0.3,2,547766,Jacob Duffy,0,18,3,3.0,13,716733,Khushdil Shah,9,10,1,0,922943,Shadab Khan,1,4,0,0,3,False,0,0,0,0,0,7,3,0,False,,False,False,4.76,0,39,0,4,0,1,1,0,31
no run,7,Pakistan,5,New Zealand,1st innings,0,stands up tall against a googly outside off and pushes into the covers,"Sodhi to Khushdil Shah, no run",31/4,559066,Ish Sodhi,0,4,0,0.4,2,547766,Jacob Duffy,0,18,3,3.0,13,716733,Khushdil Shah,9,11,1,0,922943,Shadab Khan,1,4,0,0,4,False,0,0,0,0,0,7,3,0,False,,False,False,4.65,0,40,0,4,0,1,1,0,31
